iter	Passed	Remaining
0	3	70099
1	5	58117
2	8	55648
3	10	54864
4	13	54030
5	15	52039
6	17	50380
7	20	50180
8	22	49732
9	24	49095
10	27	49400
11	29	49909
12	32	49669
13	34	49086
14	36	48965
15	38	48442
16	40	47947
17	43	47823
18	45	47630
19	47	47520
20	49	47171
21	51	46820
22	53	46713
23	55	46488
24	57	46195
25	60	46589
26	62	46528
27	64	46317
28	67	46584
29	70	47261
30	73	47399
31	76	47434
32	78	47314
33	80	47136
34	82	47038
35	84	46849
36	87	46987
37	89	46946
38	91	47021
39	94	46981
40	96	46821
41	98	46702
42	100	46550
43	102	46576
44	104	46525
45	107	46551
46	109	46596
47	111	46459
48	113	46360
49	115	46220
50	117	46102
51	119	45972
52	121	45844
53	124	46007
54	127	46101
55	129	46087
56	131	45958
57	133	45829
58	135	45717
59	137	45610
60	139	45569
61	141	45550
62	143	45438
63	145	45351
64	147	45252
65	149	45157
66	151	45063
67	153	44967
68	155	44934
69	159	45369
70	162	45707
71	166	46036
72	169	46349
73	172	46552
74	175	46522
75	177	46417
76	179	46335
77	181	46244
78	183	46234
79	185	46157
80	187	46116
81	190	46212
82	192	46146
83	194	46063
84	196	45999
85	198	45948
86	200	45943
87	202	45884
88	205	46015
89	208	46040
90	210	46078
91	213	46097
92	215	46114
93	217	46147
94	220	46243
95	223	46260
96	225	46191
97	227	46115
98	229	46178
99	232	46228
100	234	46220
101	237	46396
102	240	46495
103	243	46524
104	245	46588
105	248	46661
106	251	46781
107	254	46862
108	256	46859
109	259	46851
110	261	46833
111	263	46805
112	265	46777
113	268	46848
114	271	46952
115	274	46976
116	276	46977
117	279	47046
118	281	47074
119	285	47271
120	288	47326
121	290	47333
122	293	47357
123	295	47385
124	298	47416
125	300	47459
126	303	47490
127	306	47530
128	308	47582
129	311	47571
130	313	47624
131	316	47692
132	319	47749
133	322	47851
134	325	47900
135	328	47982
136	330	47980
137	333	48001
138	335	47999
139	337	47946
140	340	47985
141	343	48017
142	345	47991
143	348	48022
144	351	48111
145	354	48188
146	357	48279
147	360	48355
148	363	48413
149	366	48484
150	369	48552
151	374	48874
152	377	48978
153	384	49560
154	389	49878
155	393	49994
156	397	50228
157	401	50398
158	405	50602
159	407	50583
160	410	50561
161	413	50677
162	417	50820
163	422	51160
164	427	51388
165	432	51642
166	437	51964
167	440	52045
168	443	52019
169	446	52089
170	452	52433
171	458	52907
172	464	53279
173	469	53517
174	472	53491
175	475	53515
176	477	53520
177	480	53497
178	482	53476
179	485	53413
180	487	53334
181	489	53252
182	490	53168
183	493	53118
184	495	53078
185	497	53009
186	499	52930
187	501	52849
188	503	52771
189	505	52691
190	507	52611
191	509	52549
192	511	52486
193	513	52412
194	515	52342
195	517	52266
196	519	52194
197	521	52116
198	522	52038
199	525	51979
200	527	51923
201	529	51851
202	530	51778
203	532	51701
204	534	51631
205	536	51562
206	538	51490
207	540	51421
208	542	51395
209	544	51341
210	546	51276
211	548	51206
212	550	51135
213	552	51066
214	554	50998
215	556	50930
216	558	50897
217	560	50857
218	562	50798
219	564	50731
220	566	50670
221	568	50609
222	570	50569
223	572	50533
224	575	50542
225	577	50537
226	579	50481
227	581	50421
228	583	50361
229	585	50301
230	587	50245
231	589	50191
232	591	50171
233	593	50139
234	595	50125
235	598	50089
236	600	50043
237	602	49995
238	604	49946
239	606	49902
240	608	49859
241	610	49829
242	612	49797
243	614	49779
244	616	49749
245	619	49716
246	621	49667
247	623	49655
248	625	49607
249	627	49557
250	629	49504
251	631	49452
252	632	49403
253	635	49409
254	638	49410
255	640	49395
256	642	49381
257	645	49367
258	647	49352
259	649	49338
260	652	49328
261	654	49326
262	657	49331
263	659	49324
264	662	49319
265	664	49303
266	666	49267
267	668	49221
268	670	49203
269	674	49287
270	677	49357
271	681	49426
272	684	49494
273	688	49574
274	692	49643
275	694	49661
276	697	49651
277	699	49638
278	702	49650
279	704	49643
280	706	49612
281	708	49574
282	710	49532
283	712	49493
284	714	49446
285	716	49401
286	718	49367
287	720	49334
288	722	49289
289	724	49248
290	726	49204
291	728	49159
292	730	49116
293	732	49073
294	734	49029
295	736	49038
296	739	49040
297	741	49007
298	743	48967
299	745	48927
300	746	48885
301	748	48843
302	750	48809
303	752	48777
304	754	48736
305	756	48695
306	758	48655
307	760	48615
308	762	48574
309	764	48548
310	766	48532
311	768	48520
312	771	48496
313	773	48464
314	774	48425
315	776	48389
316	778	48351
317	780	48312
318	782	48277
319	784	48247
